"ID","SESSIONS","INITIAL_AGE","END_AGE","CENSOR","BODYWT","FEMALE"
282029,8,13,21,0,0.4,1
282087,11,13,24,0,2.5,0
282097,12,16,28,0,1.9,0
282469,3,20,23,0,5.7,0
283154,13,14,27,0,9.3,1
283279,1,24,25,0,6.2,0
283281,4,16,20,0,9.1,1
283312,6,14,20,0,0.7,1
284032,5,13,18,0,7,0
284088,19,11,30,0,2.6,1
284133,14,13,27,0,0.3,1
284136,5,16,21,0,8.8,1
284178,5,12,17,0,2.6,0
284202,5,13,18,0,6.1,1
284308,8,14,22,0,8.6,0
284333,6,13,19,0,4.1,1
284364,9,13,22,0,5.2,1
284386,2,14,16,0,9.9,1
285094,3,14,17,0,7.5,1
285254,3,17,20,0,10,1
285255,4,15,19,0,4.7,0
285270,4,14,18,0,9.9,0
285276,5,14,19,0,9.9,1
285344,6,19,25,0,4.8,0
285372,8,15,23,0,5.6,1
285374,5,15,20,0,6.2,0
286025,5,14,19,0,2,1
286044,37,15,52,1,5.7,0
286079,6,15,21,0,4.1,1
286343,6,14,20,0,9.3,0
286359,6,14,20,0,9.7,0
286393,3,16,19,0,6.9,1
286417,7,13,20,0,1.5,0
286443,2,18,20,0,10,1
287034,8,13,21,0,9.8,1
287041,5,18,23,0,6.3,1
288283,3,14,17,0,9.7,1
292052,5,13,18,0,7.7,1
383121,14,19,33,0,2.6,0
383135,25,14,39,0,0.9,1
383218,2,21,23,0,0.3,1
383248,6,15,21,0,7.5,1
383308,15,18,33,0,3.5,1
383398,12,12,24,0,1.8,0
384091,3,14,17,0,9.9,1
384131,8,15,23,0,4.3,0
384326,5,13,18,0,1.2,1
384383,4,14,18,0,1.5,1
385054,12,12,24,0,7.9,0
385061,7,16,23,0,9.4,1
385106,6,15,21,0,8.5,0
385156,15,13,28,0,5.6,0
385204,12,16,28,0,2,1
385247,6,16,22,0,6.6,0
385248,7,14,21,0,3.5,1
385262,4,15,19,0,5.6,1
385350,7,14,21,0,8,1
385361,24,14,38,0,8.4,1
385394,3,24,27,0,2.2,0
386024,7,14,21,0,4.3,1
386027,11,15,26,0,4,0
386043,6,15,21,0,2.2,0
386085,2,14,16,0,4.7,0
386116,10,15,25,0,4.8,1
386197,7,17,24,0,7.4,0
386235,17,23,40,0,0.2,0
386288,7,17,24,0,10,0
386294,4,15,19,0,7.4,0
386335,10,19,29,0,4,0
386385,4,16,20,0,6.3,1
386400,14,17,31,0,8.9,0
386408,6,22,28,0,6.2,0
387009,10,14,24,0,8.4,1
387011,5,18,23,0,6.4,0
387040,4,14,18,0,7.7,1
388137,14,15,29,0,0.7,1
388192,3,15,18,0,9.1,1
388273,12,16,28,0,9.7,1
388338,4,15,19,0,9.9,1
389211,11,14,25,0,8.9,1
390195,17,14,31,0,6,0
390291,14,17,31,0,0.1,1
390342,6,14,20,0,0.2,1
391036,4,14,18,0,9.9,0
391143,6,18,24,0,9.1,0
391188,12,14,26,0,0.2,1
391264,4,14,18,0,9.9,1
391376,5,14,19,0,7.7,1
392203,3,19,22,0,9.7,1
392234,8,14,22,0,7.9,0
392257,6,15,21,0,4.9,0
392267,2,38,40,0,9.1,1
484336,7,18,25,0,1.4,0
484387,7,16,23,0,1.1,1
486015,3,14,17,0,4.3,0
486063,7,15,22,0,4.1,1
486160,9,14,23,0,3.4,0
486238,1,24,25,0,9.8,1
488104,12,15,27,0,10,1
488424,28,15,43,0,0.2,0
490286,7,16,23,0,6.9,1
490362,4,20,24,0,0.3,1
490373,4,18,22,0,0.7,0
491076,6,14,20,0,7.9,0
491190,6,16,22,0,6.6,1
491204,3,14,17,0,10,1
491362,8,14,22,0,10,1
492048,4,14,18,0,7.9,0
492071,4,14,18,0,8.6,0
492129,5,16,21,0,8,1
492177,8,14,22,0,4,0
492259,8,14,22,0,0.6,1
591325,2,14,16,0,8.4,0
592103,23,17,40,0,0.3,0
592199,10,17,27,0,4.3,0
592307,15,15,30,0,0.4,1
