"id","age","tolerance","male","exposure","time"
9,11,2.23,0,1.54,0
9,12,1.79,0,1.54,1
9,13,1.9,0,1.54,2
9,14,2.12,0,1.54,3
9,15,2.66,0,1.54,4
45,11,1.12,1,1.16,0
45,12,1.45,1,1.16,1
45,13,1.45,1,1.16,2
45,14,1.45,1,1.16,3
45,15,1.99,1,1.16,4
268,11,1.45,1,0.9,0
268,12,1.34,1,0.9,1
268,13,1.99,1,0.9,2
268,14,1.79,1,0.9,3
268,15,1.34,1,0.9,4
314,11,1.22,0,0.81,0
314,12,1.22,0,0.81,1
314,13,1.55,0,0.81,2
314,14,1.12,0,0.81,3
314,15,1.12,0,0.81,4
442,11,1.45,0,1.13,0
442,12,1.99,0,1.13,1
442,13,1.45,0,1.13,2
442,14,1.67,0,1.13,3
442,15,1.9,0,1.13,4
514,11,1.34,1,0.9,0
514,12,1.67,1,0.9,1
514,13,2.23,1,0.9,2
514,14,2.12,1,0.9,3
514,15,2.44,1,0.9,4
569,11,1.79,0,1.99,0
569,12,1.9,0,1.99,1
569,13,1.9,0,1.99,2
569,14,1.99,0,1.99,3
569,15,1.99,0,1.99,4
624,11,1.12,1,0.98,0
624,12,1.12,1,0.98,1
624,13,1.22,1,0.98,2
624,14,1.12,1,0.98,3
624,15,1.22,1,0.98,4
723,11,1.22,0,0.81,0
723,12,1.34,0,0.81,1
723,13,1.12,0,0.81,2
723,14,1,0,0.81,3
723,15,1.12,0,0.81,4
918,11,1,0,1.21,0
918,12,1,0,1.21,1
918,13,1.22,0,1.21,2
918,14,1.99,0,1.21,3
918,15,1.22,0,1.21,4
949,11,1.99,1,0.93,0
949,12,1.55,1,0.93,1
949,13,1.12,1,0.93,2
949,14,1.45,1,0.93,3
949,15,1.55,1,0.93,4
978,11,1.22,1,1.59,0
978,12,1.34,1,1.59,1
978,13,2.12,1,1.59,2
978,14,3.46,1,1.59,3
978,15,3.32,1,1.59,4
1105,11,1.34,1,1.38,0
1105,12,1.9,1,1.38,1
1105,13,1.99,1,1.38,2
1105,14,1.9,1,1.38,3
1105,15,2.12,1,1.38,4
1542,11,1.22,0,1.44,0
1542,12,1.22,0,1.44,1
1542,13,1.99,0,1.44,2
1542,14,1.79,0,1.44,3
1542,15,2.12,0,1.44,4
1552,11,1,0,1.04,0
1552,12,1.12,0,1.04,1
1552,13,2.23,0,1.04,2
1552,14,1.55,0,1.04,3
1552,15,1.55,0,1.04,4
1653,11,1.11,0,1.25,0
1653,12,1.11,0,1.25,1
1653,13,1.34,0,1.25,2
1653,14,1.55,0,1.25,3
1653,15,2.12,0,1.25,4
